,Close,RSI,BBBuy,BBSell,MACDLine,MACDSignal,SMA5,SMA15,SMA30,SMA40,SMA100,Decision
540,6.002,54.1994817,5.373094025,6.487138536,-0.036186181,-0.089088287,6.012,5.755333333,6.036533333,6.10965,6.26238,Yes
541,5.902,49.27328368,5.371967485,6.471881312,-0.034938391,-0.078258308,5.9456,5.784133333,6.023333333,6.08825,6.2457,Yes
542,5.822,45.42024817,5.368553252,6.456778763,-0.039944386,-0.070595524,5.9332,5.806666667,6.008933333,6.06825,6.22926,Yes
543,5.99,54.19560426,5.36888899,6.443062727,-0.030009546,-0.062478328,5.9552,5.856,5.998533333,6.05995,6.21468,Yes
544,6.146,60.99027194,5.375116085,6.419434453,-0.009439406,-0.051870544,5.9724,5.917733333,5.9854,6.0538,6.20298,Yes
545,5.9,47.91407461,5.379032367,6.357104703,-0.012839559,-0.044064347,5.952,5.947466667,5.953733333,6.04425,6.18596,Yes
546,5.664,38.64153063,5.369128181,6.237168499,-0.034183388,-0.042088155,5.9044,5.948133333,5.9028,6.0294,6.1726,Yes
547,5.738,42.69820833,5.360927806,6.175250377,-0.044613072,-0.042593138,5.8876,5.927333333,5.871733333,6.02085,6.16102,Yes
548,5.682,40.34331794,5.352697459,6.133700959,-0.056743303,-0.045423171,5.826,5.918266667,5.8468,6.0096,6.15154,Yes
549,5.682,40.34331794,5.343993321,6.086143125,-0.065600398,-0.049458617,5.7332,5.904933333,5.821066667,5.9955,6.14344,Yes
550,5.704,42.05225405,5.336526165,6.045512876,-0.070037149,-0.053574323,5.694,5.886,5.799266667,5.98315,6.1343,Yes
551,5.628,37.69971659,5.32931592,6.022554808,-0.078777769,-0.058615012,5.6868,5.8456,5.782466667,5.9664,6.1237,Yes
552,5.588,35.4469056,5.318441152,6.009789639,-0.087918965,-0.064475803,5.6568,5.825866667,5.7698,5.94975,6.1124,Yes
553,5.71,46.76623035,5.311690402,6.007328078,-0.084346751,-0.068449992,5.6624,5.814533333,5.767133333,5.93495,6.105,Yes
554,5.87,58.02725214,5.311352682,6.014674538,-0.067823258,-0.068324645,5.7,5.801866667,5.775266667,5.9182,6.09922,Yes
555,5.474,36.02344551,5.298611982,6.005136437,-0.085694331,-0.071798583,5.654,5.766666667,5.761,5.8838,6.08864,Yes
556,5.56,41.63129003,5.293076415,6.005075922,-0.091858911,-0.075810648,5.6404,5.743866667,5.764,5.843,6.07792,Yes
557,5.656,47.61167575,5.298737637,6.006080949,-0.087983766,-0.078245272,5.654,5.7328,5.769733333,5.81765,6.06816,Yes
558,5.896,59.66523762,5.30216767,6.007885831,-0.06479972,-0.075556161,5.6912,5.726533333,5.791266667,5.8043,6.06324,Yes
559,6.078,66.48705938,5.301724165,6.014721097,-0.031378605,-0.06672065,5.7328,5.722,5.819866667,5.7949,6.06038,Yes
560,6.508,77.14286878,5.298819948,6.074217244,0.029465615,-0.047483397,5.9396,5.762533333,5.855,5.79865,6.05964,Yes
561,6.268,63.91054792,5.299467503,6.103449668,0.057654498,-0.026455818,6.0812,5.8028,5.875466667,5.80205,6.05534,Yes
562,6.21,60.96229273,5.301464537,6.114600827,0.074455994,-0.006273456,6.192,5.834266667,5.8808,5.8081,6.05076,Yes
563,6.18,59.31120804,5.301913822,6.132386566,0.084377894,0.011856814,6.2488,5.867466667,5.892866667,5.81785,6.0463,Yes
564,6.004,50.03590656,5.301078936,6.137268507,0.077150006,0.024915453,6.234,5.888933333,5.896933333,5.8273,6.03878,Yes
565,6.132,55.88896195,5.303972696,6.145256218,0.080818754,0.036096113,6.1588,5.917466667,5.901733333,5.83305,6.03222,Yes
566,5.532,34.06538316,5.300052423,6.122531113,0.034908871,0.035858665,6.0116,5.911066667,5.878333333,5.8346,6.02262,Yes
567,5.508,33.45573773,5.297175873,6.118873033,-0.003372763,0.028012379,5.8712,5.905733333,5.8658,5.8352,6.01404,Yes
568,5.698,42.89479993,5.301370801,6.114568566,-0.018170365,0.01877583,5.7748,5.904933333,5.859733333,5.8464,6.00608,Yes
569,5.856,49.80273943,5.301646886,6.105041106,-0.01695287,0.01163009,5.7452,5.904,5.852933333,5.8623,6.00426,Yes
570,5.832,48.75750128,5.302825605,6.097866206,-0.017720326,0.005760007,5.6852,5.927866667,5.847266667,5.87175,6.00246,Yes
571,5.96,54.67629185,5.302023814,6.100437258,-0.007908843,0.003026237,5.7708,5.954533333,5.8492,5.8794,5.99614,Yes
572,5.86,49.4683414,5.302871067,6.101659386,-0.008108862,0.000799217,5.8412,5.968133333,5.850466667,5.87465,5.99024,Yes
573,5.88,50.56699699,5.301857848,6.096728843,-0.006577721,-0.00067617,5.8776,5.967066667,5.8468,5.8762,5.98892,Yes
574,5.778,44.77473725,5.298001865,6.07843437,-0.013439902,-0.003228917,5.862,5.947066667,5.834533333,5.8736,5.98784,Yes
575,5.85,49.53519364,5.297387488,6.076485321,-0.012919504,-0.005167034,5.8656,5.9032,5.832866667,5.87015,5.98798,Yes
576,5.674,39.7607449,5.28998092,6.076594111,-0.02640444,-0.009414515,5.8084,5.8636,5.8332,5.85615,5.98758,Yes
577,5.68,40.22982639,5.282178166,6.075637687,-0.036190022,-0.014769617,5.7724,5.828266667,5.831266667,5.85105,5.98926,Yes
578,5.664,39.27826562,5.27486134,6.075425233,-0.044720721,-0.020759838,5.7292,5.793866667,5.830666667,5.84565,5.98836,Yes
579,5.528,31.81559692,5.271819438,6.074927096,-0.061743682,-0.028956606,5.6792,5.762133333,5.825533333,5.83235,5.98204,Yes
580,5.466,28.89565646,5.258526567,6.074408826,-0.079322996,-0.039029884,5.6024,5.717733333,5.8176,5.81895,5.97466,Yes
581,5.612,43.21374659,5.261099744,6.074284983,-0.080545274,-0.047332962,5.59,5.723066667,5.817066667,5.8117,5.97022,Yes
582,5.764,54.3732737,5.264479405,6.076846039,-0.068459649,-0.0515583,5.6068,5.740133333,5.822933333,5.81025,5.96824,Yes
583,5.608,44.01608696,5.25699855,6.075609199,-0.070655131,-0.055377666,5.5956,5.734133333,5.819533333,5.8007,5.96094,Yes
584,5.548,40.55013844,5.248995885,6.069246591,-0.076356376,-0.059573408,5.5996,5.7136,5.8088,5.78575,5.9556,Yes
