,Closing,RSI,MACD,BB,SMA1,SMA2,Decision
186,5.22,Hold,Sell,Sell,Buy,Sell,No
187,5.166,Hold,Buy,Sell,Buy,Sell,No
188,4.852,Hold,Sell,Buy,Sell,Sell,No
189,4.46,Buy,Sell,Buy,Sell,Sell,No
190,4.39,Buy,Sell,Buy,Sell,Sell,No
191,4.592,Hold,Sell,Buy,Sell,Sell,Yes
192,4.774,Hold,Sell,Buy,Sell,Sell,Yes
193,4.622,Hold,Sell,Buy,Sell,Sell,Yes
194,4.746,Hold,Sell,Buy,Sell,Sell,Yes
195,4.942,Hold,Buy,Sell,Sell,Sell,Yes
196,4.926,Hold,Buy,Sell,Sell,Sell,Yes
197,4.948,Hold,Buy,Sell,Sell,Sell,Yes
198,4.8,Hold,Buy,Sell,Sell,Sell,Yes
199,4.614,Hold,Buy,Buy,Sell,Sell,Yes
200,4.588,Hold,Buy,Buy,Sell,Sell,Yes
201,4.768,Hold,Buy,Sell,Sell,Sell,Yes
202,4.7219999999999995,Hold,Buy,Sell,Sell,Sell,Yes
203,4.593999999999999,Hold,Buy,Sell,Sell,Sell,Yes
204,4.5760000000000005,Hold,Buy,Sell,Sell,Sell,Yes
205,4.816,Hold,Buy,Sell,Sell,Sell,Yes
206,4.868,Hold,Buy,Sell,Sell,Sell,Yes
207,4.9639999999999995,Hold,Buy,Sell,Sell,Sell,Yes
208,5.16,Hold,Buy,Hold,Sell,Sell,Yes
209,5.154,Hold,Buy,Hold,Sell,Sell,Yes
210,5.202000000000001,Hold,Buy,Hold,Sell,Sell,Yes
211,5.17,Hold,Buy,Hold,Sell,Sell,Yes
212,5.126,Hold,Buy,Sell,Sell,Sell,Yes
213,5.276,Hold,Buy,Hold,Sell,Sell,Yes
214,5.104,Hold,Buy,Sell,Sell,Sell,Yes
215,5.2379999999999995,Hold,Buy,Hold,Sell,Buy,Yes
216,4.918,Hold,Buy,Sell,Sell,Buy,Yes
217,4.824,Hold,Buy,Sell,Sell,Buy,Yes
218,4.878,Hold,Sell,Sell,Sell,Buy,Yes
219,4.746,Hold,Sell,Sell,Sell,Buy,Yes
220,4.732,Hold,Sell,Sell,Sell,Buy,Yes
221,5.074,Hold,Sell,Sell,Sell,Buy,Yes
222,5.392,Hold,Buy,Hold,Sell,Buy,Yes
223,5.398,Hold,Buy,Hold,Sell,Buy,Yes
224,5.5760000000000005,Hold,Buy,Hold,Sell,Buy,Yes
225,5.522,Hold,Buy,Hold,Sell,Buy,Yes
226,5.56,Hold,Buy,Hold,Sell,Buy,Yes
227,5.587999999999999,Hold,Buy,Hold,Sell,Buy,Yes
228,5.61,Hold,Buy,Hold,Sell,Buy,Yes
229,5.484,Hold,Buy,Hold,Sell,Buy,Yes
230,5.667999999999999,Hold,Buy,Hold,Sell,Buy,Yes
231,5.513999999999999,Hold,Buy,Hold,Sell,Buy,Yes
232,5.468,Hold,Buy,Sell,Sell,Buy,Yes
233,5.606,Hold,Buy,Hold,Sell,Buy,Yes
234,5.71,Hold,Buy,Hold,Sell,Buy,Yes
235,5.65,Hold,Buy,Hold,Sell,Buy,Yes
236,5.596,Hold,Buy,Hold,Buy,Buy,Yes
237,5.752000000000001,Hold,Buy,Hold,Buy,Buy,Yes
238,5.974,Hold,Buy,Hold,Buy,Buy,Yes
239,5.874,Hold,Buy,Hold,Buy,Buy,Yes
240,5.776,Hold,Buy,Hold,Buy,Buy,Yes
241,5.742000000000001,Hold,Buy,Sell,Buy,Buy,Yes
242,6.492000000000001,Sell,Buy,Hold,Buy,Buy,Yes
243,6.462000000000001,Sell,Buy,Hold,Buy,Buy,Yes
244,6.254,Hold,Buy,Hold,Buy,Buy,Yes
245,6.367999999999999,Hold,Buy,Hold,Buy,Buy,Yes
246,6.176,Hold,Buy,Hold,Buy,Buy,Yes
247,6.266,Hold,Buy,Hold,Buy,Buy,Yes
248,6.728,Hold,Buy,Hold,Buy,Buy,Yes
249,6.644,Hold,Buy,Hold,Buy,Buy,Yes
250,6.7860000000000005,Hold,Buy,Hold,Buy,Buy,Yes
251,6.9879999999999995,Sell,Buy,Hold,Buy,Buy,Yes
252,6.736000000000001,Hold,Buy,Hold,Buy,Buy,No
253,6.52,Hold,Buy,Hold,Buy,Buy,No
254,6.352,Hold,Sell,Sell,Buy,Buy,No
255,6.414,Hold,Sell,Sell,Buy,Buy,No
256,6.29,Hold,Sell,Sell,Buy,Buy,No
257,6.332000000000001,Hold,Sell,Sell,Buy,Buy,No
258,6.5120000000000005,Hold,Sell,Sell,Buy,Buy,No
259,6.35,Hold,Sell,Sell,Buy,Buy,No
260,6.547999999999999,Hold,Sell,Sell,Buy,Buy,No
261,6.52,Hold,Sell,Sell,Buy,Buy,No
262,6.66,Hold,Sell,Hold,Buy,Buy,No
263,6.8839999999999995,Hold,Sell,Hold,Buy,Buy,No
264,6.974,Hold,Buy,Hold,Buy,Buy,No
265,6.837999999999999,Hold,Buy,Hold,Buy,Buy,No
266,6.178,Hold,Sell,Sell,Buy,Buy,No
267,6.207999999999999,Hold,Sell,Sell,Buy,Buy,No
268,6.082000000000001,Hold,Sell,Sell,Buy,Buy,No
269,5.89,Hold,Sell,Sell,Buy,Buy,No
270,5.706,Buy,Sell,Sell,Buy,Buy,No
271,5.724,Hold,Sell,Sell,Buy,Buy,No
272,5.6,Buy,Sell,Sell,Buy,Buy,No
273,5.55,Buy,Sell,Sell,Buy,Sell,No
